新青年物流,义乌到景德镇,待写,待写,义乌,义乌市江东街道后张23幢1单元,,,0579-89350539/18767978760,待写,待写,景德镇,景德镇市珠山区玲珑路天宇绿园B2幢10号,,,0798-8280327/15958972669,,cfig
新青年物流,义乌到乐平,待写,待写,义乌,义乌市江东街道后张23幢1单元,,,0579-89350539/18767978760,待写,待写,乐平,,,,,,cfig
新青年物流,义乌到浮梁,待写,待写,义乌,义乌市江东街道后张23幢1单元,,,0579-89350539/18767978760,待写,待写,浮梁,,,,,,cfig
义乌物流公司,义乌到余姚,待写,待写,义乌,义乌市后张新村22幢1单元,,,0579-85571173,待写,待写,余姚,余姚家私城北梁周线红绿灯边,,13958358660: 韩志刚,0574-6263521,,cfig
森通货运,义乌到南昌,待写,待写,义乌,宗塘二区86幢1号（环城南路边）,,,0579-85177796/17369682777,待写,待写,南昌,洪城大市场鸿顺德建市场后院内,,,18970826768/18979192968,江西全境：南昌、进贤、新建、景德镇、萍乡、新余、九江、吉安、赣州、宜春、抚州、上饶、鹰潭,cfig
轩昊托运部,义乌到台州,待写,待写,义乌,义乌市江东樊村31幢6号,小孙,,0579-85362762/13957907506,待写,待写,台州,,,,,,cfig
轩昊托运部,义乌到黄岩,待写,待写,义乌,义乌市江东樊村31幢6号,小孙,,0579-85362762/13957907506,待写,待写,黄岩,黄岩二环西路890号宏振模具学校东西桥边,,,0576-84127253/18658607288（王鹏）,,cfig
轩昊托运部,义乌到路桥,待写,待写,义乌,义乌市江东樊村31幢6号,小孙,,0579-85362762/13957907506,待写,待写,路桥,卖芝桥东路章杨物流A区9号,,,15867677907/15967011022,,cfig
杨平物流,义乌到水头,待写,待写,义乌,下王二区35幢3号,,,13335907775,待写,待写,水头,水头镇站东路56-58号（货运中心1号）,,,0577-63877662,,cfig
快安物流,义乌到杭州,待写,待写,义乌,黄扬梅一街七号,,,18267946685,待写,待写,杭州,新长城机电下沙、老长城机电、科奥机电、建华市场、工业品市场、沈半路灯具市场、南方机电,,,15605718121/15605881636,,cfig
长奥快运,义乌到衢州,待写,待写,义乌,义乌市樊村70幢-1单元,,,18857983397,待写,待写,衢州,,,,,,cfig
义乌物流公司,义乌到金华,待写,待写,义乌,义乌市复兴后陈17幢3号（原13幢1号）,,,13566766279,待写,待写,金华,,,,,,cfig
博正物流,义乌到玉山,待写,待写,义乌,南下朱C区5幢5单元,,,15858998086,待写,待写,玉山,美乐迪幼儿园前200米,,,15179328877,,cfig
